Era,Year,Title,Author,Popularity score,Themes
1997-2008,2008,The Hunger Games,Suzanne Collins,3.92,"Dystopian Post Apocalyptic, Science Fiction"
1997-2008,2003,Harry Potter and the Order of the Phoenix,J.K. Rowling,3.83,Middle Grade Fantasy
1997-2008,1997,Harry Potter and the Sorcerer's Stone,J.K. Rowling,3.83,Middle Grade Fantasy
1997-2008,2007,Harry Potter and the Deathly Hallows,J.K. Rowling,3.62,Middle Grade Fantasy
1997-2008,1999,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,3.51,Middle Grade Fantasy
1997-2008,2000,Harry Potter and the Goblet of Fire,J.K. Rowling,3.42,Middle Grade Fantasy
1997-2008,2005,Harry Potter and the Half-Blood Prince,J.K. Rowling,3.4,Middle Grade Fantasy
1997-2008,2005,The Lightning Thief,Rick Riordan,3.25,"Middle Grade Fantasy, Mythology Adventure"
2009-2013,2011,Divergent,Veronica Roth,3.33,"Dystopian Post Apocalyptic, Science Fiction"
2009-2013,2009,Catching Fire,Suzanne Collins,2.95,"Dystopian Post Apocalyptic, Science Fiction"
2009-2013,2009,The Last Olympian,Rick Riordan,2.94,"Middle Grade Fantasy, Mythology Adventure"
2009-2013,2010,Clockwork Angel,Cassandra Clare,2.81,Epic High Fantasy
2009-2013,2013,Clockwork Princess,Cassandra Clare,2.76,"Paranormal Supernatural, Paranormal Romance"
2009-2013,2011,Clockwork Prince,Cassandra Clare,2.64,"Paranormal Supernatural, Paranormal Romance"
2009-2013,2010,The Lost Hero,Rick Riordan,2.62,"Middle Grade Fantasy, Mythology Adventure"
2009-2013,2010,Mockingjay,Suzanne Collins,2.58,"Dystopian Post Apocalyptic, Science Fiction"
2014-2018,2016,A Court of Mist and Fury,Sarah J. Maas,2.64,"Epic High Fantasy, Romantasy"
2014-2018,2014,City of Heavenly Fire,Cassandra Clare,2.38,"Paranormal Supernatural, Paranormal Romance"
2014-2018,2015,Six of Crows,Leigh Bardugo,2.38,"Epic High Fantasy, Romantasy"
2014-2018,2014,Heir of Fire,Sarah J. Maas,2.35,"Epic High Fantasy, Romantasy"
2014-2018,2015,Queen of Shadows,Sarah J. Maas,2.33,Epic High Fantasy
2014-2018,2016,Crooked Kingdom,Leigh Bardugo,2.24,"Epic High Fantasy, Romantasy"
2014-2018,2015,A Court of Thorns and Roses,Sarah J. Maas,2.23,"Epic High Fantasy, Romantasy"
2014-2018,2014,Cress,Marissa Meyer,2.21,"Dystopian Post Apocalyptic, Science Fiction"
2019-2021,2019,The Wicked King,Holly Black,1.68,Epic High Fantasy
2019-2021,2019,The Queen of Nothing,Holly Black,1.48,Epic High Fantasy
2019-2021,2019,The Winter of the Witch,Katherine Arden,1.16,"Paranormal Supernatural, Paranormal Romance"
2019-2021,2020,Chain of Gold,Cassandra Clare,1.15,"Paranormal Supernatural, Paranormal Romance, Epic High Fantasy"
2019-2021,2019,Supernova,Marissa Meyer,1.08,"Dystopian Post Apocalyptic, Science Fiction"
2019-2021,2019,Ninth House,Leigh Bardugo,1.0,Paranormal Supernatural
2019-2021,2019,The Octunnumi Fosbit Files Prologue,Trevor Alan Foris,0.94,Middle Grade Fantasy
2019-2021,2019,The Toll,Neal Shusterman,0.92,"Dystopian Post Apocalyptic, Science Fiction"
